Title,Text,Label
Government Announces New Education Policy,The government announced a new education policy focusing on digital learning and skill development across schools.,Real
Scientists Discover Cure for Common Cold,Scientists have developed a new medicine after years of research that significantly reduces symptoms.,Real
NASA Successfully Launches Satellite,NASA launched a weather satellite to improve climate monitoring worldwide.,Real
New Metro Line Opens in Delhi,The Delhi Metro introduced a new line connecting major business districts.,Real
Bank Introduces Digital Services,The bank launched secure online banking features for customers.,Real
Aliens Built the Pyramids,Experts secretly confirmed that aliens built the Egyptian pyramids using advanced technology.,Fake
Celebrity Drinks Magic Water to Live Forever,A famous actor claims drinking magical water makes people immortal.,Fake
Invisible City Found Under Ocean,Researchers discovered an invisible underwater city ruled by ancient creatures.,Fake
Moon is Made of Cheese,Scientists officially proved that the Moon is entirely made of cheese.,Fake
Chocolate Can Replace All Medicines,Doctors say eating chocolate every day completely replaces medical treatment.,Fake
